Back-End Developer,Fireup.pro,2019-01-27,2019-02-07," tworzenie aplikacji i implementacja wymagañ funkcjonalnych dostarczanych przez feature owne’a wdra¿anie testów na ró¿nych poziomach: jednostkowych, integracyjnych, komponentowych, kontraktowych, funkcjonalnych i wydajnoœciowych prowadzenie..."
iOS Developer,The Software House Sp. z o. o.,2019-01-27,2019-02-07," Dlaczego warto do nas do³¹czyæ? korzystamy z najnowszych technologii Apple stale modernizuj¹c projekty tak, by by³y zgodne z najnowszymi wersjami Swifta, nowoœciami w platformie i Foundation organizujemy wewnêtrzne szkolenia, na których dzielimy..."
Specjalista DevOps,Getin Noble Bank S.A.,2019-01-27,2019-02-17," Pracuj¹c u nas bêdziesz odpowiedzialny za: budowê i wsparcie zintegrowanego œrodowiska rozwojowego z zakresu instalacji i automatyzacji realizowanych projektów, tworzenie deployment pipelines, skrypótw, administracja bazami danych wraz z..."
Programista C,ZF Group,2019-01-27,2019-02-07," Na tym stanowisku mo¿esz rozwin¹æ kompetencje zwi¹zane z: analiz¹ wymagañ, tworzeniem specyfikacji i implementacj¹ oprogramowania standardem architektury oprogramowania wbudowanego stosowanym w bran¿y motoryzacyjnej standardami dotycz¹cymi..."
Group Real Estate Controller,Eurofins GSC Poland Sp. z o. o.,2019-01-28,2019-02-27, Job Description The Group Real Estate Controller will be responsible for the following activities related to Real Estate owned by Eurofins Legal Entities and/or leased from 3rd parties: Group Sites databases maintenance and follow-up; Building...
SAP Variant Configuration Developer Modeler,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-14, This position is responsible for implementation of customer configured products offered by Rockwell Automation within the SAP environment to our customers. CHALLENGES WAITING FOR YOU Programming product offerings in SAP using Object Oriented...
Connected Services Project Manager,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-14, CHALLENGES WAITING FOR YOU The NA Connected Services Project Manager position is responsible for the leadership and delivery of services projects for customers within the Connected Services business suite of offerings. This position requires...
EMC Engineer,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-14, We are looking for an engineer who will provide Electro-magnetic Compatibility (EMC) testing and consultation services during new product development and certification to various product groups. Requires specific and detailed knowledge of EN...
EMC Senior Project Engineer,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-14," This position presents challenges of leadership in empowering engineers to profitability and providing elegant technical solutions for Rockwell Automation’s EMC Laboratory in Katowice, Poland. In addition to the intangible there are some specific..."
HR Processes Administrator,Guardian Industries,2019-01-28,2019-02-27," Responsibilities: Provide support to EU based locations on a variety of tasks using the HRIS system Assist with the review and implementation of new and existing processes Process HR changes such as new hires, terminations, salary changes, and..."
Senior Software Engineer – Cyber Security,ZF Group,2019-01-28,2019-02-08, You are invited to be part of global team supporting all ZF product lines in the area of Product Cyber Security. Cyber attacks on embedded systems is a rapidly growing problem and automotive systems are also targeted. We took the challenge of...
"Big Data Specialist (Hadoop, Linux) - Remote Work",DXC Technology,2019-01-28,2019-02-09, The successful candidate will work within Analytics practice and be mainly responsible for development of new solutions and/or enhancements to Kafka-based platform. The work will be delivered for a strategic multinational customer from automotive...
Disbursements Data Analyst,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-09," CHALLENGES WAITING FOR YOU Preparation of payment proposals Processing of regular and manual payments for 3rd party vendors, intercompany and employees Running of payment reports and review of errors and payment rejections Preparation of payment..."
ADAS Systems Engineer,ZF Group,2019-01-28,2019-02-14, Your tasks: Provide all day long support for international quotation activities Evaluate and manage big data in case of process automatization Implement and execute automated tests scripts Take part in continuous system process improvement...
Team Leader for Data Management & Reporting Team,Experum HR,2019-01-28,2019-02-14," Requirements: university degree, previous experience in a similar position at least 2 years, fluency in English, very good command of MS Office, especially MS Excel, command of VBA and SQL scripting will be an asset, highly developed analytical..."
Discovery Services Technician,KLDiscovery Ontrack Sp. z o.o.,2019-01-28,2019-02-09, Location: Katowice Tuesday-Saturday Shift work: 16:00-0:00 (4:00 pm - midnight) 22:00-6:00 (10:00 pm - 6:00am) ...
IT Support Engineer (m/f), AMAZON FULFILLMENT POLAND SP Z O O,2019-01-28,2019-02-27," Twoja rola i obowi¹zki: Zarz¹dzanie i rozwój infrastruktury serwerowej i sieciowej (sieæ, urz¹dzenia sieciowe, serwery Windows/Linux, zapory ogniowe, technologie oparte o WiFi, DECT, etc.) Nadzorowanie operacji, dostêpnoœci i wydajnoœci..."
Commodity Buyer,Johnson Electric Poland,2019-01-28,2019-02-27," Officer Sourcing (Commodity Buyer) key role is to manage the supply base and provide a strategic sourcing as well as constant improvement of supplier performance to achieve the competitive material cost, highest quality and the shortest leadtime..."
Data Migration Analyst,Sapiens Software Solutions Poland,2019-01-28,2019-02-09, What’s the role all about? We are looking for Data Migration Analyst to join our Property & Casualty division and support our international projects conducted for global clients from insurance sector. Daily work includes: Define migration...
Automation Software Developer,BREMBO POLAND Sp. z o.o.,2019-01-28,2019-02-09," As an Automation Software Developer, you will develop solutions to exchange data between machines, sensors and remote servers. The domain of the projects ranges from engineering of automation solutions to innovative industry 4.0 and Internet of..."
